Designator,Mid X,Mid Y,Rotation,Layer
C1,110.8,-106.0,0.0,bottom
C2,121.9,-135.1,180.0,bottom
C3,116.3,-108.7,90.0,bottom
C4,111.7,-69.7,180.0,bottom
C5,105.1,-48.95,270.0,bottom
C6,105.8,-109.5,180.0,bottom
C7,120.4,-140.8,180.0,bottom
C8,106.4,-135.5,270.0,bottom
D1,122.6,-119.5,0.0,bottom
D2,115.0,-122.3,180.0,bottom
D3,94.25,-61.0,0.0,top
FM_AMOUNT1,91.5,-92.0,270.0,top
J1,103.0,-62.5,0.0,top
J2,73.0,-62.5,0.0,bottom
J3,76.0,-124.0,0.0,top
J4,76.0,-104.5,0.0,top
J5,94.0,-139.5,0.0,top
J6,83.0,-139.4,0.0,top
J7,113.6,-61.45,90.0,bottom
J8,123.3,-51.6,0.0,bottom
PULSE_WIDTH1,86.5,-129.5,90.0,top
Q1,124.7,-91.3,0.0,bottom
Q2,122.2,-95.6,180.0,bottom
R1,119.25,-89.3,0.0,bottom
R10,111.6,-101.9,180.0,bottom
R11,119.25,-95.6,0.0,bottom
R12,119.25,-98.75,0.0,bottom
R13,120.2,-144.1,180.0,bottom
R14,120.2,-147.3,180.0,bottom
R15,120.2,-150.5,180.0,bottom
R16,103.0,-140.8,90.0,bottom
R17,103.0,-150.8,90.0,bottom
R18,97.0,-68.5,180.0,top
R2,119.25,-86.15,0.0,bottom
R3,119.25,-79.85,0.0,bottom
R4,119.25,-76.7,0.0,bottom
R5,111.65,-83.0,180.0,bottom
R6,119.25,-92.45,0.0,bottom
R7,106.4,-143.1,270.0,bottom
R8,122.6,-125.35,0.0,bottom
R9,122.55,-128.45,0.0,bottom
SCALE1,75.0,-148.25,270.0,top
TH1,124.75,-86.7,0.0,bottom
TH2,124.75,-83.4,0.0,bottom
TH3,122.2,-80.1,180.0,bottom
TH4,124.7,-76.8,0.0,bottom
TUNING_COARSE1,78.9,-63.5,90.0,top
TUNING_FINE1,86.5,-85.0,90.0,top
U1,117.4,-135.1,0.0,bottom
U2,110.6,-113.1,0.0,bottom
